bg_key,cell_line,score,type
PANC-1__OE1,PANC-1,0.99981207,generated
PANC-1__WT1,PANC-1,0.9998173,generated
PANC-1__OE1,PANC-1,0.9905309,generated
Hela__KO1,Hela,0.9986663,generated
PANC-1__WT2,PANC-1,0.99943036,generated
PANC-1__WT3,PANC-1,0.9990615,generated
PANC-1__OE1,PANC-1,0.99530965,generated
PANC-1__WT3,PANC-1,0.99779993,generated
Hela__WT2,Hela,0.99926084,generated
Hela__WT1,Hela,0.9998399,generated
PANC-1__WT2,PANC-1,0.9847265,generated
PANC-1__OE2,PANC-1,0.96760374,generated
PANC-1__WT3,PANC-1,0.99912876,generated
Hela__KO3,Hela,0.99872273,generated
PANC-1__OE2,PANC-1,0.9997571,generated
Hela__KO1,Hela,0.99990976,generated
Hela__WT1,Hela,0.9962148,generated
PANC-1__OE3,PANC-1,0.995904,generated
PANC-1__WT2,PANC-1,0.9998104,generated
PANC-1__WT2,PANC-1,0.9825701,generated
Hela__WT2,Hela,0.9996685,generated
PANC-1__OE1,PANC-1,0.9923098,generated
PANC-1__OE1,PANC-1,0.99531436,generated
Hela__KO2,Hela,0.99979025,generated
Hela__KO1,Hela,0.999931,generated
Hela__WT1,Hela,0.9984364,generated
Hela__KO2,Hela,0.99455136,generated
Hela__KO3,Hela,0.99979395,generated
Hela__WT3,Hela,0.99959594,generated
Hela__KO3,Hela,0.99948967,generated
PANC-1__WT1,PANC-1,0.9991848,generated
PANC-1__WT2,PANC-1,0.9997371,generated
PANC-1__WT2,PANC-1,0.9992526,generated
PANC-1__WT2,PANC-1,0.9988668,generated
PANC-1__WT2,PANC-1,0.99112076,generated
PANC-1__OE1,PANC-1,0.99839133,generated
PANC-1__WT3,PANC-1,0.9984503,generated
Hela__WT2,Hela,0.9974088,generated
PANC-1__OE2,PANC-1,0.99934715,generated
PANC-1__WT3,PANC-1,0.9990982,generated
Hela__WT3,Hela,0.9991997,generated
PANC-1__OE3,PANC-1,0.9993851,generated
PANC-1__OE1,PANC-1,0.9996424,generated
Hela__WT2,Hela,0.99962604,generated
PANC-1__WT2,PANC-1,0.9943169,generated
Hela__WT2,Hela,0.99952877,generated
PANC-1__WT2,PANC-1,0.9986772,generated
Hela__KO1,Hela,0.99934345,generated
Hela__KO2,Hela,0.99955755,generated
Hela__WT2,Hela,0.99981207,generated
PANC-1__OE3,PANC-1,0.9996829,generated
Hela__KO1,Hela,0.99984384,generated
PANC-1__OE2,PANC-1,0.99938774,generated
Hela__KO3,Hela,0.9995016,generated
Hela__WT1,Hela,0.9986243,generated
Hela__KO3,Hela,0.9970208,generated
